RRNAD1	METTL25B,C1orf66,CGI-41
NHLRC1	EPM2A,EPM2B, MALIN, MELF2, bA204B7.2
FAM160A1	FHIP1A,FHIP-L
EIF5AL1	EIF5A,EIF5AP1,bA342M3.3,eIF-4D,eIF-5A,eIF-5A-1,eIF-5A1
C9orf24	SPMIP6,CBE1,NYD-SP22,SMRP1,bA573M23.4
XCL2	SCM-1b,SCM1B,SCYC2,XCL1 /// XCL2,NM_003175
HSPA1B	HSP70-1,HSP70-1B,HSP70-2,HSP70.1,HSP70.2,HSP72,HSPA1,HSX70,HSPA1A /// HSPA1B
H2AJ	H2AFJ
MCU	C10orf42,CCDC109A,HsMCU
ZG16B	EECP,HRPE773,JCLN2,PAUF,PRO1567
PGM2	MSTP006,FLJ10983
RTL6	LDOC1L,Mar6,Mart6,SIRH3,dJ1033E15.2
ALKBH2	ABH2
POMGNT2	AGO61,C3orf39,GTDC2,MDDGA8,MDDGC8
MS4A8	4SPAN4,CD20L5,MS4A4B,MS4A8B
MRE11	ATLD,HNGS1A,MRE11B,MRE11A
SNRNP48	C6orf151,dJ336K20B.1,dJ512B11.2
RBMXL1	RBM1
PROSER2	C10orf47
PIWIL4	HIWI2,MIWI2
CCL26	IMAC,MIP-4a,MIP-4alpha,SCYA26,TSC-1
ANOS1	ADMLX,HH1,HHA,KAL,KAL1,KALIG-1,KMS,WFDC19
PLD6	ZUC
GOLGA7B	C10orf132,C10orf133,bA451M19.3,bA459F3.4
TRIM7	GNIP,RNF90
LYG1	LYGA1,SALW1939	
PLEKHH2	PLEKHH1L
SYCE3	C22orf41,THEG2
MKX	C10orf48,IFRX,IRXL1
ETFBKMT	C12orf72,ETFB-KMT,METTL20
LRRC4B	HSM,LRIG4,NGL-3 
SLC34A3	HHRH,NPT2C,NPTIIc
CRYBA2	CTRCT42
DNAH2	DNAHC2,DNHD3,SPGF45,FLJ46675,KIAA1503
TPGS2	C18orf10,HMFN0601,L17,PGs2
LRIF1	C1orf103,FSHD3,HBiX1,RIF1
NUBPL	C14orf127,IND1,MC1DN21,huInd1
SLC35E4	LOC101929728 /// SLC35E4
