Sample_ID,MSIsensor_Score
TCGA-A6-6781-01,25.58
TCGA-F4-6570-01,31.81
TCGA-QG-A5Z2-01,19.29
TCGA-AA-3833-01,27.18
TCGA-CM-6162-01,29.11
TCGA-DM-A1HB-01,27.61
TCGA-AD-5900-01,36.46
TCGA-CA-6718-01,0.0
TCGA-G4-6304-01,7.18
TCGA-AA-A01R-01,22.57
TCGA-AZ-6598-01,43.27
TCGA-AA-3811-01,38.84
TCGA-AD-A5EJ-01,22.4
TCGA-G4-6586-01,33.57
TCGA-EI-6507-01,15.99
TCGA-AG-A02N-01,39.69
TCGA-CA-6717-01,0.01
TCGA-CM-5861-01,34.37
TCGA-D5-6540-01,32.59
TCGA-AA-3949-01,24.11
TCGA-CM-6171-01,43.0
TCGA-AA-A00N-01,32.47
TCGA-D5-6530-01,41.17
TCGA-AA-A02R-01,32.62
TCGA-A6-6780-01,37.25
TCGA-AD-6964-01,18.65
TCGA-CK-5916-01,35.2
TCGA-G4-6588-01,34.69
TCGA-AG-A002-01,0.46
TCGA-EI-6917-01,0.03
TCGA-F4-6703-01,1.0
TCGA-AA-3821-01,30.92
TCGA-AY-6197-01,31.61
TCGA-5M-AAT6-01,20.58
TCGA-AD-6889-01,40.44
TCGA-CK-4951-01,21.62
TCGA-AA-A022-01,43.0
TCGA-AA-A01P-01,20.7
TCGA-AM-5821-01,30.25
TCGA-D5-6927-01,17.61
TCGA-NH-A5IV-01,41.02
TCGA-WS-AB45-01,24.48
TCGA-AA-3864-01,23.86
TCGA-EI-6882-01,25.05
TCGA-A6-6653-01,33.02
TCGA-A6-5665-01,46.78
TCGA-AZ-4615-01,33.79
TCGA-AA-A010-01,4.19
TCGA-AA-3977-01,0.37
TCGA-A6-2686-01,41.35
TCGA-AA-3663-01,41.51
TCGA-A6-5661-01,33.38
TCGA-AA-3492-01,35.82
TCGA-G4-6309-01,26.62
TCGA-CM-6674-01,21.08
TCGA-AA-3947-01,40.0
TCGA-G4-6302-01,3.04
TCGA-AA-3713-01,26.26
TCGA-F4-6856-01,27.56
TCGA-AA-3877-01,32.33
TCGA-D5-6928-01,14.76
TCGA-AA-3966-01,43.67
TCGA-CM-4743-01,23.82
TCGA-AD-6895-01,23.11
TCGA-AZ-4315-01,0.67
TCGA-AA-3845-01,30.53
TCGA-D5-6930-01,15.2
TCGA-AU-6004-01,27.82
TCGA-G4-6628-01,19.28
TCGA-CK-5913-01,32.98
TCGA-CK-6746-01,36.05
TCGA-AA-3715-01,44.26
TCGA-F5-6814-01,0.34
