TCGA	GSE12945	GSE17538	GSE29621	GSE39582
Lasso+StepCox[both]	0.690814896598582	0.666112956810631	0.703284480502486	0.735559566787004	0.59837038323492
survivalSVM	0.598496751454414	0.611295681063123	0.653559277676001	0.648014440433213	0.538410327660067
CoxBoost+survivalSVM	0.623211176695401	0.641196013289037	0.672271656634389	0.680505415162455	0.550263401644089
Ridge	0.679561764830778	0.717607973421927	0.707864433394399	0.750902527075812	0.608226235961561
Lasso+survivalSVM	0.623890611066287	0.654485049833887	0.679534153362994	0.6985559566787	0.560003473428274
SuperPC	0.665293643042167	0.720930232558139	0.722912850039257	0.71841155234657	0.589310524487669
CoxBoost+Ridge	0.684360270075162	0.712624584717608	0.712051818895577	0.727436823104693	0.600309714021072
Enet[alpha=0.1]	0.6840630175379	0.717607973421927	0.71375294425543	0.753610108303249	0.606315850411022
CoxBoost+Enet[alpha=0.1]	0.684232876130621	0.697674418604651	0.715257785919916	0.737364620938628	0.599658446219752
Enet[alpha=0.2]	0.685634209520574	0.712624584717608	0.712902381575504	0.749097472924188	0.603710779205743
Enet[alpha=0.3]	0.685336956983311	0.697674418604651	0.713033237372416	0.747292418772563	0.602799004283895
CoxBoost+Enet[alpha=0.3]	0.684954775149688	0.68936877076412	0.711855535200209	0.733754512635379	0.599021651036239
CoxBoost+Enet[alpha=0.2]	0.68520956303877	0.691029900332226	0.713818372153886	0.737364620938628	0.599224267685539
Enet[alpha=0.4]	0.685039704446049	0.692691029900332	0.713491232661607	0.743682310469314	0.601337269885377
CoxBoost+Enet[alpha=0.4]	0.686738290373264	0.691029900332226	0.710219837738812	0.742779783393502	0.600874146115549
Lasso+CoxBoost	0.685591744872394	0.677740863787375	0.709369275058885	0.73014440433213	0.598124348732199
Enet[alpha=0.5]	0.68520956303877	0.687707641196013	0.712248102590945	0.740974729241877	0.600642584230636
CoxBoost	0.685506815576033	0.682724252491694	0.708845851871238	0.735559566787004	0.599687391455366
CoxBoost+Enet[alpha=0.5]	0.685082169094229	0.686046511627907	0.711135828317194	0.732851985559567	0.598688780826676
Enet[alpha=0.6]	0.682364431610684	0.684385382059801	0.71695891127977	0.742779783393502	0.593579946740767
CoxBoost+Enet[alpha=0.6]	0.685506815576033	0.684385382059801	0.710939544621827	0.737364620938628	0.599600555748524
CoxBoost+Enet[alpha=0.7]	0.685464350927853	0.679401993355482	0.711266684114106	0.733754512635379	0.598486164177376
CoxBoost+Enet[alpha=0.8]	0.6862287145951	0.682724252491694	0.710023554043444	0.732851985559567	0.598515109412991
Enet[alpha=0.8]	0.685421886279672	0.681063122923588	0.709892698246532	0.737364620938628	0.599224267685539
Enet[alpha=0.9]	0.684020552889719	0.677740863787375	0.710808688824915	0.73826714801444	0.593941762185944
Lasso	0.686653361076903	0.681063122923588	0.709042135566606	0.742779783393502	0.600541275905986
