features	algorithm
TIMP1	Lasso+StepCox[both]
CDKN2A	Lasso+StepCox[both]
MMP1	Lasso+StepCox[both]
NGF	Lasso+StepCox[both]
SNAI1	survivalSVM
TIMP1	survivalSVM
APOE	survivalSVM
CDKN2A	survivalSVM
MMP1	survivalSVM
NGF	survivalSVM
CXCL1	survivalSVM
PXDNL	survivalSVM
GPX3	survivalSVM
IL17A	survivalSVM
MMP3	survivalSVM
SERPINE1	survivalSVM
MMP10	survivalSVM
SNAI1	CoxBoost+survivalSVM
TIMP1	CoxBoost+survivalSVM
CDKN2A	CoxBoost+survivalSVM
MMP1	CoxBoost+survivalSVM
NGF	CoxBoost+survivalSVM
GPX3	CoxBoost+survivalSVM
MMP10	CoxBoost+survivalSVM
SNAI1	Ridge
TIMP1	Ridge
APOE	Ridge
CDKN2A	Ridge
MMP1	Ridge
NGF	Ridge
CXCL1	Ridge
PXDNL	Ridge
GPX3	Ridge
IL17A	Ridge
MMP3	Ridge
SERPINE1	Ridge
MMP10	Ridge
SNAI1	Lasso+survivalSVM
TIMP1	Lasso+survivalSVM
CDKN2A	Lasso+survivalSVM
MMP1	Lasso+survivalSVM
NGF	Lasso+survivalSVM
GPX3	Lasso+survivalSVM
SERPINE1	Lasso+survivalSVM
MMP10	Lasso+survivalSVM
SNAI1	SuperPC
TIMP1	SuperPC
APOE	SuperPC
CDKN2A	SuperPC
MMP1	SuperPC
NGF	SuperPC
CXCL1	SuperPC
PXDNL	SuperPC
GPX3	SuperPC
IL17A	SuperPC
MMP3	SuperPC
SERPINE1	SuperPC
MMP10	SuperPC
SNAI1	CoxBoost+Ridge
TIMP1	CoxBoost+Ridge
CDKN2A	CoxBoost+Ridge
MMP1	CoxBoost+Ridge
NGF	CoxBoost+Ridge
GPX3	CoxBoost+Ridge
MMP10	CoxBoost+Ridge
SNAI1	Enet[alpha=0.1]
TIMP1	Enet[alpha=0.1]
CDKN2A	Enet[alpha=0.1]
MMP1	Enet[alpha=0.1]
NGF	Enet[alpha=0.1]
CXCL1	Enet[alpha=0.1]
PXDNL	Enet[alpha=0.1]
GPX3	Enet[alpha=0.1]
MMP3	Enet[alpha=0.1]
SERPINE1	Enet[alpha=0.1]
MMP10	Enet[alpha=0.1]
SNAI1	CoxBoost+Enet[alpha=0.1]
TIMP1	CoxBoost+Enet[alpha=0.1]
CDKN2A	CoxBoost+Enet[alpha=0.1]
MMP1	CoxBoost+Enet[alpha=0.1]
NGF	CoxBoost+Enet[alpha=0.1]
