ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0071492	cellular response to UV-A	3/11	11/18903	2.41264062648091e-08	9.81944734977729e-06	5.07924342417033e-06	TIMP1/MMP1/MMP3	3
BP	GO:0070141	response to UV-A	3/11	14/18903	5.31736310527948e-08	1.08208339192438e-05	5.59722432134683e-06	TIMP1/MMP1/MMP3	3
BP	GO:0030574	collagen catabolic process	3/11	45/18903	2.052580949829e-06	0.000278466815526801	0.000144040768409053	MMP1/MMP3/MMP10	3
BP	GO:0042743	hydrogen peroxide metabolic process	3/11	55/18903	3.78284617898597e-06	0.000384904598711822	0.000199097167315051	PXDNL/GPX3/MMP3	3
BP	GO:0022617	extracellular matrix disassembly	3/11	62/18903	5.44117590110062e-06	0.00044291171834959	0.000229102143204237	MMP1/MMP3/MMP10	3
BP	GO:0034644	cellular response to UV	3/11	89/18903	1.61988117090087e-05	0.00109881939426109	0.000568379358210832	TIMP1/MMP1/MMP3	3
BP	GO:0032963	collagen metabolic process	3/11	107/18903	2.81503081552834e-05	0.00163673934560005	0.000846625809181455	MMP1/MMP3/MMP10	3
BP	GO:0090399	replicative senescence	2/11	17/18903	4.16701259546379e-05	0.00193105640360503	0.000998865332266922	CDKN2A/SERPINE1	2
BP	GO:0071482	cellular response to light stimulus	3/11	123/18903	4.27014929544109e-05	0.00193105640360503	0.000998865332266922	TIMP1/MMP1/MMP3	3
BP	GO:0009411	response to UV	3/11	149/18903	7.56071493603105e-05	0.00307721097896464	0.00159172946021706	TIMP1/MMP1/MMP3	3
BP	GO:0042744	hydrogen peroxide catabolic process	2/11	30/18903	0.000132734142617839	0.00491116327686004	0.00254036636589166	PXDNL/GPX3	2
BP	GO:0071478	cellular response to radiation	3/11	189/18903	0.000153011452653105	0.0051896384358178	0.00268441145005447	TIMP1/MMP1/MMP3	3
BP	GO:0001953	negative regulation of cell-matrix adhesion	2/11	40/18903	0.00023725159544511	0.00742779994970461	0.00384213110032568	CDKN2A/SERPINE1	2
BP	GO:0072593	reactive oxygen species metabolic process	3/11	235/18903	0.000290757931108379	0.00845274842579359	0.00437229971591547	PXDNL/GPX3/MMP3	3
BP	GO:0010951	negative regulation of endopeptidase activity	3/11	252/18903	0.000356903057999299	0.00968396964038098	0.00500916572630595	TIMP1/NGF/SERPINE1	3
BP	GO:0010466	negative regulation of peptidase activity	3/11	263/18903	0.000404490831795532	0.0102892355337988	0.00532224778678332	TIMP1/NGF/SERPINE1	3
BP	GO:0010812	negative regulation of cell-substrate adhesion	2/11	66/18903	0.000647078301918343	0.0140212295490635	0.0072526727267883	CDKN2A/SERPINE1	2
BP	GO:0030198	extracellular matrix organization	3/11	318/18903	0.000703971622681268	0.0140212295490635	0.0072526727267883	MMP1/MMP3/MMP10	3
BP	GO:0043062	extracellular structure organization	3/11	319/18903	0.000710427815666445	0.0140212295490635	0.0072526727267883	MMP1/MMP3/MMP10	3
BP	GO:0009416	response to light stimulus	3/11	321/18903	0.000723454104497133	0.0140212295490635	0.0072526727267883	TIMP1/MMP1/MMP3	3
BP	GO:0045229	external encapsulating structure organization	3/11	321/18903	0.000723454104497133	0.0140212295490635	0.0072526727267883	MMP1/MMP3/MMP10	3
BP	GO:0071214	cellular response to abiotic stimulus	3/11	335/18903	0.000818949794266421	0.014155810604351	0.00732228661805303	TIMP1/MMP1/MMP3	3
BP	GO:0104004	cellular response to environmental stimulus	3/11	335/18903	0.000818949794266421	0.014155810604351	0.00732228661805303	TIMP1/MMP1/MMP3	3
BP	GO:2000242	negative regulation of reproductive process	2/11	75/18903	0.000834740674458045	0.014155810604351	0.00732228661805303	SNAI1/TIMP1	2
BP	GO:0045861	negative regulation of proteolysis	3/11	352/18903	0.000945320043718638	0.0153898103117394	0.00796058984184117	TIMP1/NGF/SERPINE1	3
BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	2/11	85/18903	0.00107047856488879	0.0167571067657591	0.00866784263067843	NGF/SERPINE1	2
BP	GO:0051346	negative regulation of hydrolase activity	3/11	373/18903	0.00111781365750363	0.0168500058742214	0.0087158959649406	TIMP1/NGF/SERPINE1	3
