#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABHD12B	ABHD8	9606.ENSP00000336693	9606.ENSP00000247706	0.043	0	0	0	0.084	0	0	0.526	0.548
ABHD12B	RASL10B	9606.ENSP00000336693	9606.ENSP00000474230	0	0	0	0	0.047	0.042	0	0.411	0.416
ABHD12B	ABHD4	9606.ENSP00000336693	9606.ENSP00000414558	0.043	0	0	0	0.084	0	0	0.518	0.540
ABHD4	ABHD8	9606.ENSP00000414558	9606.ENSP00000247706	0	0	0	0	0.047	0	0	0.454	0.458
ABHD4	PLAAT5	9606.ENSP00000414558	9606.ENSP00000301790	0	0	0	0	0.047	0	0	0.426	0.430
ACTN2	HRC	9606.ENSP00000355537	9606.ENSP00000252825	0	0	0	0	0.410	0	0	0.167	0.488
ACTN2	MMP10	9606.ENSP00000355537	9606.ENSP00000279441	0	0	0	0	0.060	0	0	0.405	0.416
ACTN2	NRG1	9606.ENSP00000355537	9606.ENSP00000287842	0	0	0	0	0	0.059	0.400	0.052	0.418
ACTN2	DMPK	9606.ENSP00000355537	9606.ENSP00000345997	0	0	0	0	0.048	0.052	0	0.484	0.493
ACTN2	MYOZ1	9606.ENSP00000355537	9606.ENSP00000352272	0	0	0	0	0.410	0.926	0	0.961	0.998
ACTN2	DTNA	9606.ENSP00000355537	9606.ENSP00000470152	0	0	0	0	0.133	0	0	0.370	0.430
ACTN2	CRYAB	9606.ENSP00000355537	9606.ENSP00000433560	0	0	0	0	0.152	0.090	0	0.440	0.530
ACTN2	DLG2	9606.ENSP00000355537	9606.ENSP00000365272	0	0	0	0	0.119	0.069	0.400	0.161	0.532
ACTN2	CAMK2B	9606.ENSP00000355537	9606.ENSP00000379098	0	0	0	0	0.151	0.070	0.400	0.442	0.700
ACTN2	TPM2	9606.ENSP00000355537	9606.ENSP00000496494	0	0	0	0	0.229	0.479	0	0.451	0.760
ACTN2	TNNT1	9606.ENSP00000355537	9606.ENSP00000467176	0	0	0	0	0.376	0.058	0	0.644	0.772
ACTN2	DLG4	9606.ENSP00000355537	9606.ENSP00000497806	0	0	0	0	0.104	0.319	0.400	0.576	0.824
ACTN2	TNNT2	9606.ENSP00000355537	9606.ENSP00000499593	0	0	0	0	0.369	0.058	0	0.865	0.913
ADAM11	DLG2	9606.ENSP00000200557	9606.ENSP00000365272	0	0	0	0	0.116	0.091	0	0.419	0.492
ADAM11	DLG4	9606.ENSP00000200557	9606.ENSP00000497806	0	0	0	0	0.186	0.091	0	0.450	0.557
ADAMTS6	COMP	9606.ENSP00000370443	9606.ENSP00000222271	0	0	0	0	0.049	0.046	0	0.430	0.438
ADCY5	PDE1B	9606.ENSP00000419361	9606.ENSP00000243052	0	0	0	0	0.067	0	0.650	0.559	0.843
ADCY5	AGMO	9606.ENSP00000419361	9606.ENSP00000341662	0	0	0	0	0	0	0	0.678	0.678
ADCY5	CAMK2B	9606.ENSP00000419361	9606.ENSP00000379098	0	0	0	0	0.109	0.063	0.650	0.180	0.728
ADCY5	DGKB	9606.ENSP00000419361	9606.ENSP00000385780	0	0	0	0	0.081	0	0	0.925	0.928
ADCY5	PRRT2	9606.ENSP00000419361	9606.ENSP00000456226	0	0	0	0	0.106	0.052	0	0.419	0.465
ADCY5	ADRA2B	9606.ENSP00000419361	9606.ENSP00000480573	0	0	0	0	0.083	0	0.500	0.086	0.544
ADCY5	AVPR2	9606.ENSP00000419361	9606.ENSP00000496396	0	0	0	0	0.061	0	0.500	0.269	0.626
ADCYAP1R1	SCTR	9606.ENSP00000483721	9606.ENSP00000019103	0	0	0	0.926	0.048	0	0.400	0.096	0.438
ADCYAP1R1	SCT	9606.ENSP00000483721	9606.ENSP00000176195	0	0	0	0	0	0	0.400	0.667	0.791
ADCYAP1R1	NTRK2	9606.ENSP00000483721	9606.ENSP00000277120	0	0	0	0	0.214	0	0.500	0.471	0.774
ADCYAP1R1	UCN	9606.ENSP00000483721	9606.ENSP00000296099	0	0	0	0	0	0.307	0	0.231	0.444
ADCYAP1R1	PLXNB3	9606.ENSP00000483721	9606.ENSP00000442736	0	0	0	0	0.072	0	0	0.402	0.421
ADD2	SPTBN4	9606.ENSP00000264436	9606.ENSP00000469242	0	0	0	0	0.068	0	0	0.516	0.529
ADD2	IP6K3	9606.ENSP00000264436	9606.ENSP00000293756	0	0	0	0	0	0	0	0.588	0.588
ADGRB1	SCT	9606.ENSP00000430945	9606.ENSP00000176195	0	0	0	0	0.085	0	0	0.416	0.443
ADGRB1	BAIAP3	9606.ENSP00000430945	9606.ENSP00000324510	0	0	0	0	0.070	0.292	0	0.815	0.867
ADGRB1	NLGN1	9606.ENSP00000430945	9606.ENSP00000392500	0	0	0	0	0.067	0	0	0.398	0.414
ADGRB1	DLG4	9606.ENSP00000430945	9606.ENSP00000497806	0	0	0	0	0.086	0.301	0	0.527	0.671
ADRA2B	ASTL	9606.ENSP00000480573	9606.ENSP00000343674	0	0.057	0	0	0.107	0	0	0.348	0.403
ADRA2B	RGS16	9606.ENSP00000480573	9606.ENSP00000356529	0	0	0	0	0.044	0	0.500	0.046	0.504
ADRA2B	AVPR2	9606.ENSP00000480573	9606.ENSP00000496396	0	0	0	0	0.238	0	0	0.285	0.432
ADSS1	NAT8L	9606.ENSP00000333019	9606.ENSP00000413064	0	0	0	0	0.047	0	0.900	0	0.900
AGMO	DGKB	9606.ENSP00000341662	9606.ENSP00000385780	0	0	0	0	0.083	0	0	0.720	0.732
ALAD	GPX3	9606.ENSP00000386284	9606.ENSP00000373477	0.042	0	0	0	0.060	0	0	0.519	0.529
ALAD	ENDOV	9606.ENSP00000386284	9606.ENSP00000429190	0.120	0	0	0	0.199	0.079	0	0.349	0.521
ALDH3A1	GSTM2	9606.ENSP00000411821	9606.ENSP00000241337	0	0	0	0	0.055	0.053	0.650	0.210	0.719
ALDH3A1	GSTM1	9606.ENSP00000411821	9606.ENSP00000311469	0	0	0	0	0.056	0.053	0.650	0.304	0.753
ALDH3A1	AOC3	9606.ENSP00000411821	9606.ENSP00000312326	0	0	0	0	0.079	0.071	0.918	0.096	0.928
ALDH3A1	CYP1B1	9606.ENSP00000411821	9606.ENSP00000478561	0	0	0	0	0.110	0.045	0.138	0.619	0.684
ALOX12	TMEM40	9606.ENSP00000251535	9606.ENSP00000322837	0	0	0	0	0.404	0	0	0	0.404
ALOX12	ALOX12B	9606.ENSP00000251535	9606.ENSP00000497784	0	0	0.098	0.883	0.096	0	0.900	0.148	0.921
ALOX12B	ALOXE3	9606.ENSP00000497784	9606.ENSP00000314879	0	0	0.062	0.956	0.270	0.292	0	0.083	0.496
ANKRD24	C1QTNF4	9606.ENSP00000471252	9606.ENSP00000302274	0	0	0	0	0.118	0.095	0	0.492	0.559
AOC3	IL7	9606.ENSP00000312326	9606.ENSP00000263851	0	0	0	0	0	0	0	0.510	0.510
AOC3	RORC	9606.ENSP00000312326	9606.ENSP00000327025	0	0	0	0	0.062	0	0	0.391	0.404
AOC3	PXDNL	9606.ENSP00000312326	9606.ENSP00000348645	0	0	0	0	0	0	0	0.479	0.479
AOC3	IL17A	9606.ENSP00000312326	9606.ENSP00000497968	0	0	0	0	0	0	0	0.695	0.695
APC2	TCF7L1	9606.ENSP00000442954	9606.ENSP00000282111	0	0	0	0	0	0.071	0.650	0.166	0.705
APC2	ARHGEF4	9606.ENSP00000442954	9606.ENSP00000316845	0	0	0	0	0.127	0.051	0.900	0.249	0.929
APOD	APOE	9606.ENSP00000345179	9606.ENSP00000252486	0	0	0	0	0.109	0	0	0.932	0.936
APOD	MMP3	9606.ENSP00000345179	9606.ENSP00000299855	0	0	0	0	0.043	0	0	0.473	0.474
APOD	FGF14	9606.ENSP00000345179	9606.ENSP00000365301	0	0	0	0	0.107	0	0	0.567	0.597
APOE	TIMP1	9606.ENSP00000252486	9606.ENSP00000218388	0	0	0	0	0.050	0	0	0.472	0.476
APOE	SERPINE1	9606.ENSP00000252486	9606.ENSP00000223095	0	0	0	0	0.081	0	0	0.583	0.601
APOE	MGP	9606.ENSP00000252486	9606.ENSP00000228938	0	0	0	0	0.064	0	0	0.440	0.454
APOE	CTSD	9606.ENSP00000252486	9606.ENSP00000236671	0	0	0	0	0.182	0	0	0.722	0.763
APOE	PLIN1	9606.ENSP00000252486	9606.ENSP00000300055	0	0	0	0	0.049	0.052	0	0.391	0.403
APOE	CXCL1	9606.ENSP00000252486	9606.ENSP00000379110	0	0	0	0	0.056	0	0	0.418	0.427
APOE	DLG4	9606.ENSP00000252486	9606.ENSP00000497806	0	0	0	0	0.063	0	0	0.479	0.490
APOE	FABP4	9606.ENSP00000252486	9606.ENSP00000256104	0	0	0	0	0.104	0	0	0.479	0.513
APOE	PPARGC1A	9606.ENSP00000252486	9606.ENSP00000264867	0	0	0	0	0.074	0	0	0.506	0.522
APOE	CRYAB	9606.ENSP00000252486	9606.ENSP00000433560	0	0	0	0	0.097	0	0	0.494	0.523
APOE	PXDNL	9606.ENSP00000252486	9606.ENSP00000348645	0	0	0	0	0.060	0	0	0.600	0.608
APOE	NGF	9606.ENSP00000252486	9606.ENSP00000358525	0	0	0	0	0	0	0	0.609	0.609
APOE	TMCC2	9606.ENSP00000252486	9606.ENSP00000350718	0	0	0	0	0.042	0.366	0	0.489	0.662
APOE	IL17A	9606.ENSP00000252486	9606.ENSP00000497968	0	0	0	0	0.067	0	0	0.678	0.686
APOE	GPIHBP1	9606.ENSP00000252486	9606.ENSP00000480053	0	0	0	0	0.086	0	0.400	0.507	0.706
APOE	GPX3	9606.ENSP00000252486	9606.ENSP00000373477	0	0	0	0	0.145	0	0	0.681	0.715
APOE	MMP10	9606.ENSP00000252486	9606.ENSP00000279441	0	0	0	0	0.056	0.507	0	0.439	0.716
APOE	BGN	9606.ENSP00000252486	9606.ENSP00000327336	0	0	0	0	0.178	0	0	0.677	0.723
APOE	CYP46A1	9606.ENSP00000252486	9606.ENSP00000261835	0	0	0	0	0.044	0	0	0.740	0.740
APOE	MMP3	9606.ENSP00000252486	9606.ENSP00000299855	0	0	0	0	0.056	0.688	0	0.441	0.821
APOE	MAPT	9606.ENSP00000252486	9606.ENSP00000340820	0	0	0	0	0.044	0.701	0	0.973	0.991
AQP7	FABP4	9606.ENSP00000297988	9606.ENSP00000256104	0	0	0	0	0.098	0	0	0.405	0.440
AQP7	DTNA	9606.ENSP00000297988	9606.ENSP00000470152	0	0	0	0	0	0.476	0	0	0.476
AQP7	PLIN4	9606.ENSP00000297988	9606.ENSP00000488481	0	0	0	0	0.154	0.065	0	0.436	0.515
AQP7	PLIN1	9606.ENSP00000297988	9606.ENSP00000300055	0	0	0	0	0.279	0.309	0	0.616	0.792
ARC	NTRK2	9606.ENSP00000349022	9606.ENSP00000277120	0	0	0	0	0.063	0.056	0	0.585	0.601
ARC	DLG2	9606.ENSP00000349022	9606.ENSP00000365272	0	0	0	0	0.081	0.142	0	0.428	0.510
ARC	CAMK2B	9606.ENSP00000349022	9606.ENSP00000379098	0	0	0	0	0.060	0.216	0	0.738	0.790
ARC	DLG4	9606.ENSP00000349022	9606.ENSP00000497806	0	0	0	0	0.106	0.484	0	0.612	0.805
ASPHD1	ZG16	9606.ENSP00000311447	9606.ENSP00000383563	0	0	0	0	0	0	0	0.543	0.543
ASPHD1	PRRT2	9606.ENSP00000311447	9606.ENSP00000456226	0	0	0	0	0.118	0	0	0.586	0.619
ASPHD1	YPEL3	9606.ENSP00000311447	9606.ENSP00000381821	0	0	0	0	0	0	0	0.687	0.687
ASTL	TIMP1	9606.ENSP00000343674	9606.ENSP00000218388	0	0	0	0	0.085	0	0	0.716	0.729
ASTL	IZUMO1	9606.ENSP00000343674	9606.ENSP00000327786	0	0	0	0	0	0	0	0.410	0.410
ATOH1	CLCA1	9606.ENSP00000302216	9606.ENSP00000234701	0	0	0	0	0.335	0.057	0	0.220	0.468
ATOH1	AVPR2	9606.ENSP00000302216	9606.ENSP00000496396	0	0	0	0	0	0	0	0.435	0.435
ATOH1	SPINK4	9606.ENSP00000302216	9606.ENSP00000369045	0	0	0	0	0.225	0	0	0.356	0.480
ATOH1	JAG2	9606.ENSP00000302216	9606.ENSP00000328169	0	0	0	0	0	0.077	0	0.460	0.481
ATOH1	FGF14	9606.ENSP00000302216	9606.ENSP00000365301	0	0	0	0	0.054	0	0	0.495	0.501
ATOH1	SIX1	9606.ENSP00000302216	9606.ENSP00000494686	0	0	0	0	0.055	0	0	0.552	0.559
ATP1B2	NNAT	9606.ENSP00000250111	9606.ENSP00000497164	0	0	0	0	0.086	0	0	0.384	0.413
ATP1B2	FXYD7	9606.ENSP00000250111	9606.ENSP00000270310	0	0	0	0	0.109	0	0.500	0.197	0.611
ATP1B2	FXYD1	9606.ENSP00000250111	9606.ENSP00000481244	0	0	0	0	0.105	0.042	0.900	0.208	0.923
ATP6V0A4	ATP6V1C2	9606.ENSP00000308122	9606.ENSP00000272238	0	0	0	0	0.157	0.748	0.540	0.839	0.982
ATP6V0A4	WDR72	9606.ENSP00000308122	9606.ENSP00000379619	0	0	0	0	0.042	0	0	0.435	0.435
ATP6V1C2	SLC4A11	9606.ENSP00000272238	9606.ENSP00000369399	0	0	0	0	0.098	0	0	0.366	0.404
ATP6V1C2	WDR72	9606.ENSP00000272238	9606.ENSP00000379619	0	0	0	0	0	0	0	0.512	0.512
AVPR2	TAS1R1	9606.ENSP00000496396	9606.ENSP00000331867	0	0	0	0	0.079	0	0	0.375	0.401
AVPR2	GPRASP1	9606.ENSP00000496396	9606.ENSP00000498934	0	0	0	0	0.059	0.045	0	0.647	0.655
B3GNT6	EEF1A2	9606.ENSP00000484640	9606.ENSP00000217182	0	0	0	0	0	0	0	0.520	0.520
B4GALNT1	CHPF	9606.ENSP00000341562	9606.ENSP00000243776	0	0	0	0	0.083	0	0	0.872	0.877
B4GALNT1	EXTL1	9606.ENSP00000341562	9606.ENSP00000363398	0	0	0	0	0.138	0.073	0	0.313	0.403
BAIAP3	SCTR	9606.ENSP00000324510	9606.ENSP00000019103	0	0	0	0	0	0	0	0.701	0.701
BCAM	PDZD4	9606.ENSP00000270233	9606.ENSP00000377355	0	0	0	0	0	0	0	0.749	0.749
BGLAP	COMP	9606.ENSP00000357255	9606.ENSP00000222271	0	0	0	0	0	0	0	0.480	0.480
BGLAP	MGP	9606.ENSP00000357255	9606.ENSP00000228938	0	0	0	0	0	0	0	0.933	0.933
BGLAP	FABP4	9606.ENSP00000357255	9606.ENSP00000256104	0	0	0	0	0	0	0	0.610	0.610
BGLAP	NTRK2	9606.ENSP00000357255	9606.ENSP00000277120	0	0	0	0	0	0	0	0.416	0.416
BGLAP	MMP3	9606.ENSP00000357255	9606.ENSP00000299855	0	0	0	0	0.055	0	0	0.448	0.456
