,Characteristics,Hazard.Ratio,lower.95,upper.95,CI95.,P.Value
1,CDH3,0.99,0.833,1.176,0.99[0.833:1.176],0.906
2,CA7,0.976,0.862,1.105,0.976[0.862:1.105],0.701
3,BEST4,0.965,0.842,1.107,0.965[0.842:1.107],0.611
4,KRT80,1.15,0.987,1.34,1.15[0.987:1.34],0.073
5,FAM135B,0.829,0.701,0.981,0.829[0.701:0.981],0.029
6,ETV4,0.993,0.84,1.175,0.993[0.84:1.175],0.938
7,SLC25A34,1.043,0.889,1.222,1.043[0.889:1.222],0.607
8,GUCA2B,0.951,0.873,1.036,0.951[0.873:1.036],0.252
9,ESM1,1.155,0.985,1.353,1.155[0.985:1.353],0.075
10,RXRG,0.997,0.85,1.17,0.997[0.85:1.17],0.971
11,WNT2,0.963,0.831,1.115,0.963[0.831:1.115],0.613
12,SLC30A10,0.974,0.879,1.078,0.974[0.879:1.078],0.609
13,CLEC3B,1.019,0.882,1.177,1.019[0.882:1.177],0.801
14,PYY,0.976,0.894,1.066,0.976[0.894:1.066],0.595
15,ABCG2,1.069,0.937,1.22,1.069[0.937:1.22],0.322
16,ELANE,0.915,0.756,1.107,0.915[0.756:1.107],0.36
17,LINC03040,1.101,0.932,1.3,1.101[0.932:1.3],0.259
18,TMIGD1,0.947,0.875,1.025,0.947[0.875:1.025],0.179
19,CDKN2B.AS1,0.945,0.853,1.048,0.945[0.853:1.048],0.284
20,SCGN,0.924,0.828,1.031,0.924[0.828:1.031],0.158
21,SULT1A2,0.987,0.857,1.137,0.987[0.857:1.137],0.854
22,FOXQ1,1.125,0.981,1.291,1.125[0.981:1.291],0.091
23,C2orf88,0.992,0.853,1.152,0.992[0.853:1.152],0.911
24,PLP1,0.95,0.857,1.052,0.95[0.857:1.052],0.324
25,VEGFD,1.049,0.907,1.212,1.049[0.907:1.212],0.521
26,CA2,0.921,0.824,1.03,0.921[0.824:1.03],0.148
27,SST,0.98,0.878,1.094,0.98[0.878:1.094],0.716
28,FLVCR2.AS1,1.056,0.94,1.186,1.056[0.94:1.186],0.361
29,ABCB11,1.027,0.9,1.172,1.027[0.9:1.172],0.692
30,TEX11,0.842,0.725,0.978,0.842[0.725:0.978],0.025
31,XKR4,1.013,0.885,1.161,1.013[0.885:1.161],0.848
32,USP2,0.976,0.847,1.125,0.976[0.847:1.125],0.734
33,SPIB,0.957,0.861,1.064,0.957[0.861:1.064],0.42
34,MUSK,0.953,0.823,1.105,0.953[0.823:1.105],0.526
35,GCNT2,1.045,0.92,1.187,1.045[0.92:1.187],0.497
36,ENPP6,0.95,0.817,1.105,0.95[0.817:1.105],0.508
37,CLDN23,0.799,0.668,0.956,0.799[0.668:0.956],0.014
38,PKIB,0.98,0.866,1.108,0.98[0.866:1.108],0.743
39,NRXN1,1.042,0.94,1.155,1.042[0.94:1.155],0.43
40,GFRA2,0.995,0.873,1.134,0.995[0.873:1.134],0.936
41,ASPA,1.085,0.951,1.238,1.085[0.951:1.238],0.225
42,SLC51A,1.071,0.919,1.248,1.071[0.919:1.248],0.382
43,ABCA8,1.031,0.934,1.138,1.031[0.934:1.138],0.543
44,CA1,0.983,0.923,1.048,0.983[0.923:1.048],0.605
45,GCG,0.935,0.856,1.021,0.935[0.856:1.021],0.133
46,CNGB1,1.07,0.904,1.266,1.07[0.904:1.266],0.434
47,BMP3,0.961,0.882,1.047,0.961[0.882:1.047],0.358
48,MAMDC2,1.006,0.908,1.115,1.006[0.908:1.115],0.905
49,LYVE1,1.043,0.928,1.174,1.043[0.928:1.174],0.479
50,CD177,0.919,0.844,1,0.919[0.844:1],0.051
51,PI16,1.055,0.964,1.155,1.055[0.964:1.155],0.242
52,TAT,1.03,0.881,1.204,1.03[0.881:1.204],0.712
53,SCARA5,0.945,0.862,1.036,0.945[0.862:1.036],0.226
54,GLP2R,0.905,0.805,1.017,0.905[0.805:1.017],0.095
55,RIMS4,1.131,1.003,1.274,1.131[1.003:1.274],0.045
56,TUBB4A,1.069,0.92,1.242,1.069[0.92:1.242],0.383
57,ECRG4,1.054,0.941,1.181,1.054[0.941:1.181],0.362
58,GUCA2A,0.95,0.876,1.031,0.95[0.876:1.031],0.219
59,TMEM151B,1.194,1.004,1.42,1.194[1.004:1.42],0.045
60,RSPO2,0.989,0.877,1.115,0.989[0.877:1.115],0.856
61,CADM3,1.067,0.973,1.169,1.067[0.973:1.169],0.169
62,AQP8,0.958,0.897,1.024,0.958[0.897:1.024],0.208
63,CTNND2,1.011,0.881,1.161,1.011[0.881:1.161],0.873
64,GRIN2D,1.136,0.973,1.326,1.136[0.973:1.326],0.108
65,SLC17A7,1.157,0.974,1.376,1.157[0.974:1.376],0.098
66,PRIMA1,1.021,0.93,1.12,1.021[0.93:1.12],0.668
67,MT1M,0.995,0.901,1.099,0.995[0.901:1.099],0.924
68,SH2D7,1.032,0.902,1.181,1.032[0.902:1.181],0.644
69,PRSS22,1.022,0.87,1.201,1.022[0.87:1.201],0.791
70,TMEM72,0.93,0.841,1.028,0.93[0.841:1.028],0.156
71,ZNF575,1.095,0.855,1.401,1.095[0.855:1.401],0.474
