"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CDH3",5.81487638689823,11.0247412075548,29.0892016631006,7.48336342113832e-110,1.57854068005492e-105,239.757876693579
"CA7",-7.51371176781052,5.28918862705352,-27.999094014948,1.09434662355251e-104,1.15420738386083e-100,227.964332391293
"BEST4",-6.89557843574936,5.42656385118628,-27.617855951255,7.18267385181451e-103,5.05037740767251e-99,223.814294250588
"KRT80",6.19502156483943,9.58292072623293,27.2178437493983,5.86820980069624e-101,3.09460043839716e-97,219.446597905807
"FAM135B",-5.32769778996382,1.98739823298338,-24.6020396359172,2.46728248714283e-88,1.04089713567582e-84,190.601480391005
"ETV4",4.78984311410227,11.3173692760178,23.7288008050265,4.3722591508971e-84,1.53714057548372e-80,180.889913164097
"SLC25A34",-4.77437969550371,5.25470444581714,-23.1928785627856,1.7907209972534e-81,5.39620981658045e-78,174.917659579954
"GUCA2B",-8.70648142252888,4.06879803208325,-22.6694898326597,6.40354370018959e-79,1.68845438514749e-75,169.079624535013
"ESM1",4.99109013660013,7.19222508176202,22.2875825396431,4.67944101599992e-77,1.09675698657225e-73,164.818039895044
"RXRG",-4.60679288807998,2.20689033056664,-22.0064378703448,1.10206886877375e-75,2.32470407179135e-72,161.680741821904
"WNT2",5.01913249019877,7.44185935857898,21.9722071856437,1.61899118470737e-75,3.10463636820156e-72,161.298784461773
"SLC30A10",-7.06819743975525,2.89482129155769,-21.912199304085,3.17727489283742e-75,5.58511971579271e-72,160.629217155537
"CLEC3B",-4.94186768904964,6.29770224520385,-21.8950506393021,3.85238327590743e-75,6.25093637092241e-72,160.437877937153
"PYY",-8.21587656188999,3.92920363360405,-21.8648713365355,5.40732264021311e-75,8.14729026947539e-72,160.101153544737
"ABCG2",-5.49492923824681,6.26929668408849,-21.5131443923593,2.81031513574063e-73,3.95205249822086e-70,156.177596661986
"ELANE",-3.86341571944331,1.60186777124498,-21.3452889276896,1.85027076251798e-72,2.43935071653464e-69,154.305880350403
"LINC03040",4.86096794808052,9.56792018623161,21.1506598269894,1.64398784714066e-71,2.03989880279913e-68,152.13642231913
"TMIGD1",-9.10406171236474,3.9203216525058,-21.1446943863949,1.75779555344416e-71,2.0599410780195e-68,152.069943330371
"CDKN2B-AS1",-6.6818984171423,4.66383451788773,-21.0645219683095,4.32122040600877e-71,4.79746438128152e-68,151.176598563891
"SCGN",-6.446529949936,3.57542849490459,-21.0453957384601,5.35532583904481e-71,5.64826216244056e-68,150.963506824333
"SULT1A2",-4.63995276224284,5.37855019507122,-20.9372892011792,1.80038141655438e-70,1.80844026670467e-67,149.759270453383
"FOXQ1",5.45588201159143,9.57120581342535,20.9253630837174,2.05799959884121e-70,1.97324743354348e-67,149.626444526538
"C2orf88",-4.57041542083785,8.02023280864232,-20.619358624159,6.35201588449421e-69,5.82562708989221e-66,146.220119288406
"PLP1",-6.79889921718892,3.65904644655941,-20.5504900568616,1.3737178072082e-68,1.20738347605207e-65,145.45401598759
"VEGFD",-4.84671539361767,2.57460357680994,-20.5398484318802,1.54757478653778e-68,1.30578170188912e-65,145.335655520959
"CA2",-5.98125269116815,10.2176441565947,-20.519810863735,1.93684831735402e-68,1.57137993870253e-65,145.112803235072
"SST",-6.57565398557981,2.78232175207564,-20.468631103512,3.43517979686851e-68,2.68376602352387e-65,144.543678575906
"FLVCR2-AS1",-5.37671113988928,2.41843650039524,-20.4649286684126,3.58055159106129e-68,2.69743411649453e-65,144.502511753332
"ABCB11",-5.27899585660612,2.31894554827074,-20.4202590562222,5.90339406840838e-68,4.29400670617263e-65,144.005887698773
"TEX11",-4.54273891630026,3.55833735275382,-20.368484177832,1.05375938429642e-67,7.40933348411622e-65,143.43038885384
"XKR4",-5.02920199950435,2.15394736263989,-20.2842380483335,2.70442135130245e-67,1.84022787046367e-64,142.494243173526
"USP2",-4.74840142327973,6.17833730893276,-20.2547757636091,3.75999297254974e-67,2.47854036759263e-64,142.166943147001
"SPIB",-6.13148990324379,5.68639168918018,-20.1030267930293,2.05106409546421e-66,1.3110650312037e-63,140.481886069663
"MUSK",-4.62044282899486,2.1032414475114,-20.015944440913,5.42668297723005e-66,3.36677796240267e-63,139.51549027661
